Title,Genre,Age Rating,Content Type,Duration(min),Origin Country,Main Cast,Audio,IMDB rate,Seasons,Release Year,,,
Friends: Season 3: The One with the Hypnosis Tape,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
What's Wrong with Secretary Kim: Episode 7,Rom-com,16+,TV Show,65,South Korea,"Park Seo-Joon, Park Min-Young, Lee Tae-hwan, Kang Ki-young",Korean,8.1,,2018,,,
Friends: Season 7: The One with the Truth About London,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 7: The One with Joey's New Brain,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 2: The One with the Prom Video,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 2: The One After the Super Bowl: Part 2,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 9: The One with Rachel's Phone Number,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 9: The One with Rachel's Other Sister,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 1: The One with the Fake Monica,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 1: The One with the Blackout,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 2: The One Where Heckles Dies,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Queen Charlotte: A Bridgerton Story: Crown Jewels,Period-piece,18+,TV Show,55,United States,India Amarteifio · Adjoa Andoh · Michelle Fairley · Ruth Gemmell · Corey Mylchreest · Golda Rosheuvel · Arsema Thomas ,English,7.3,3,2023,,,
Queen Charlotte: A Bridgerton Story: Gardens in Bloom,Period-piece,18+,TV Show,55,United States,India Amarteifio · Adjoa Andoh · Michelle Fairley · Ruth Gemmell · Corey Mylchreest · Golda Rosheuvel · Arsema Thomas ,English,7.3,3,2023,,,
Queen Charlotte: A Bridgerton Story: Holding the King,Period-piece,18+,TV Show,55,United States,India Amarteifio · Adjoa Andoh · Michelle Fairley · Ruth Gemmell · Corey Mylchreest · Golda Rosheuvel · Arsema Thomas ,English,7.3,3,2023,,,
Queen Charlotte: A Bridgerton Story: Even Days,Period-piece,18+,TV Show,55,United States,India Amarteifio · Adjoa Andoh · Michelle Fairley · Ruth Gemmell · Corey Mylchreest · Golda Rosheuvel · Arsema Thomas ,English,7.3,3,2023,,,
Queen Charlotte: A Bridgerton Story: Honeymoon Bliss,Period-piece,18+,TV Show,55,United States,India Amarteifio · Adjoa Andoh · Michelle Fairley · Ruth Gemmell · Corey Mylchreest · Golda Rosheuvel · Arsema Thomas ,English,7.3,3,2023,,,
Queen Charlotte: A Bridgerton Story: Queen to Be,Period-piece,18+,TV Show,55,United States,India Amarteifio · Adjoa Andoh · Michelle Fairley · Ruth Gemmell · Corey Mylchreest · Golda Rosheuvel · Arsema Thomas ,English,7.3,3,2023,,,
Fabulous Lives of Bollywood Wives: Season 1: Of Waltzes and Water Bras,Lifestyle,18+,TV Show,32,India,"Neelam Kothari, Maheep Kapoor, Bhavna Pandey and Seema Kiran Sajdeh ",Hindi,5.5,2,2020,,,
Fabulous Lives of Bollywood Wives: Season 1: Of Waltzes and Water Bras,Lifestyle,18+,TV Show,32,India,"Neelam Kothari, Maheep Kapoor, Bhavna Pandey and Seema Kiran Sajdeh ",Hindi,5.5,2,2020,,,
Fabulous Lives of Bollywood Wives: Season 1: Of Waltzes and Water Bras,Lifestyle,18+,TV Show,32,India,"Neelam Kothari, Maheep Kapoor, Bhavna Pandey and Seema Kiran Sajdeh ",Hindi,5.5,2,2020,,,
Fabulous Lives of Bollywood Wives: Season 1: Of Waltzes and Water Bras,Lifestyle,18+,TV Show,32,India,"Neelam Kothari, Maheep Kapoor, Bhavna Pandey and Seema Kiran Sajdeh ",Hindi,5.5,2,2020,,,
Fabulous Lives of Bollywood Wives: Season 1: Of Waltzes and Water Bras,Lifestyle,18+,TV Show,32,India,"Neelam Kothari, Maheep Kapoor, Bhavna Pandey and Seema Kiran Sajdeh ",Hindi,5.5,2,2020,,,
Fabulous Lives of Bollywood Wives: Season 1: Of Waltzes and Water Bras,Lifestyle,18+,TV Show,32,India,"Neelam Kothari, Maheep Kapoor, Bhavna Pandey and Seema Kiran Sajdeh ",Hindi,5.5,2,2020,,,
The Longest Night: Episode 6,Thriller,16+,Tv show,48,Spain,"Alberto Ammann, Luis Callejo ,Bárbara Goenaga , José Luis García-Pérez , Roberto Álamo ",Spanish,5.9,1,2022,,,
The Longest Night: Episode 5,Thriller,16+,Tv show,48,Spain,"Alberto Ammann, Luis Callejo ,Bárbara Goenaga , José Luis García-Pérez , Roberto Álamo ",Spanish,5.9,1,2022,,,
The Longest Night: Episode 4,Thriller,16+,Tv show,48,Spain,"Alberto Ammann, Luis Callejo ,Bárbara Goenaga , José Luis García-Pérez , Roberto Álamo ",Spanish,5.9,1,2022,,,
The Longest Night: Episode 3,Thriller,16+,Tv show,48,Spain,"Alberto Ammann, Luis Callejo ,Bárbara Goenaga , José Luis García-Pérez , Roberto Álamo ",Spanish,5.9,1,2022,,,
The Longest Night: Episode 2,Thriller,16+,Tv show,48,Spain,"Alberto Ammann, Luis Callejo ,Bárbara Goenaga , José Luis García-Pérez , Roberto Álamo ",Spanish,5.9,1,2022,,,
The Longest Night: Episode 1,Thriller,16+,Tv show,48,Spain,"Alberto Ammann, Luis Callejo ,Bárbara Goenaga , José Luis García-Pérez , Roberto Álamo ",Spanish,5.9,1,2022,,,
Trial by Fire: Memorial,"Crime, Emotional",16+,Tv show,45,India,"Abhay Deol, Ashish Vidyarthi, Anupam Kher, Rajshri Deshpande, Rajesh Tailang, Ratna Pathak, Shilpa Shukla",Hindi,7.8,1,2023,,,
Trial by Fire: A.V.U.T.,"Crime, Emotional",16+,Tv show,45,India,"Abhay Deol, Ashish Vidyarthi, Anupam Kher, Rajshri Deshpande, Rajesh Tailang, Ratna Pathak, Shilpa Shukla",Hindi,7.8,1,2023,,,
Trial by Fire: Trial by Fire,"Crime, Emotional",16+,Tv show,45,India,"Abhay Deol, Ashish Vidyarthi, Anupam Kher, Rajshri Deshpande, Rajesh Tailang, Ratna Pathak, Shilpa Shukla",Hindi,7.8,1,2023,,,
Cyber Hell: Exposing an Internet Horror,Documentary,18+,Movie,105,South Korea,Chang Eun-jo · Nicole Gose · Moon Hyung-wook · Cho Ju-bin · Esmée Ko · Yeon-Seo Oh · Kim Wan.',Korean,6.5,,2022,,,
The Night Agent: Eyes Only,Action,16+,TV Show,48,United States,"Gabriel Basso, Luciane Buchanan, Hong Chau, Sarah Desjardins, Fola Evans-Akingbola ",English,7.5,1,2023,,,
The Night Agent: The Zookeeper,Action,16+,TV Show,56,United States,"Gabriel Basso, Luciane Buchanan, Hong Chau, Sarah Desjardins, Fola Evans-Akingbola ",English,7.5,1,2023,,,
The Night Agent: Redial,Action,16+,TV Show,48,United States,"Gabriel Basso, Luciane Buchanan, Hong Chau, Sarah Desjardins, Fola Evans-Akingbola ",English,7.5,1,2023,,,
The Night Agent: The Call,Action,16+,TV Show,55,United States,"Gabriel Basso, Luciane Buchanan, Hong Chau, Sarah Desjardins, Fola Evans-Akingbola ",English,7.5,1,2023,,,
20th Century Girl,Romance,13+,TV Show,121,South Korea,Im Seung-yong · Kim Yoo-jung · Byeon Woo-seok · Park Jung-woo · Roh Yoon-seo · Jo Yeong-jik · Dalpalan.,Korean,7.3,,2022,,,
Never Have I Ever: Season 1: Pilot,Teen-drama,13+,TV Show,25,United States,"Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet, Richa Moorjani, Jaren Lewison",English,7.9,4,2020,,,
True Beauty: Episode 5,Romance,13+,TV Show,45,South Korea,"Cha Eun-Woo, Hwang In- Yeop, Moon Ga-Young, Kang Min-Ah, Park Yoo-Na",Korean,8,,2020,,,
True Beauty: Episode 4,Romance,13+,TV Show,45,South Korea,"Cha Eun-Woo, Hwang In- Yeop, Moon Ga-Young, Kang Min-Ah, Park Yoo-Na",Korean,8,,2020,,,
True Beauty: Episode 3,Romance,13+,TV Show,45,South Korea,"Cha Eun-Woo, Hwang In- Yeop, Moon Ga-Young, Kang Min-Ah, Park Yoo-Na",Korean,8,,2020,,,
True Beauty: Episode 2,Romance,13+,TV Show,45,South Korea,"Cha Eun-Woo, Hwang In- Yeop, Moon Ga-Young, Kang Min-Ah, Park Yoo-Na",Korean,8,,2020,,,
True Beauty: Episode 1,Romance,13+,TV Show,45,South Korea,"Cha Eun-Woo, Hwang In- Yeop, Moon Ga-Young, Kang Min-Ah, Park Yoo-Na",Korean,8,,2020,,,
Friends: Season 6: The One with Joey's Fridge,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 1: The One Where Rachel Finds Out,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Single's Inferno: Season 2: Episode 5,Reality,13+,TV Show,75,South Korea,"Kim Jin-Young, Shin Seul-Ki, Lee Nadine, Lee So-e, Kim Se-Jun",Korean,7.2,2,2021,,,
Single's Inferno: Season 2: Episode 4,Reality,13+,TV Show,75,South Korea,"Kim Jin-Young, Shin Seul-Ki, Lee Nadine, Lee So-e, Kim Se-Jun",Korean,7.2,2,2021,,,
Single's Inferno: Season 2: Episode 3,Reality,13+,TV Show,75,South Korea,"Kim Jin-Young, Shin Seul-Ki, Lee Nadine, Lee So-e, Kim Se-Jun",Korean,7.2,2,2021,,,
Single's Inferno: Season 2: Episode 2,Reality,13+,TV Show,75,South Korea,"Kim Jin-Young, Shin Seul-Ki, Lee Nadine, Lee So-e, Kim Se-Jun",Korean,7.2,2,2021,,,
Single's Inferno: Season 2: Episode 1,Reality,13+,TV Show,75,South Korea,"Kim Jin-Young, Shin Seul-Ki, Lee Nadine, Lee So-e, Kim Se-Jun",Korean,7.2,2,2021,,,
Friends: Season 4: The One with the Ballroom Dancing,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
What's Wrong with Secretary Kim: Episode 6,Rom-com,16+,TV Show,65,South Korea,"Park Seo-Joon, Park Min-Young, Lee Tae-hwan, Kang Ki-young",Korean,8.1,1,2018,,,
What's Wrong with Secretary Kim: Episode 5,Rom-com,16+,TV Show,65,South Korea,"Park Seo-Joon, Park Min-Young, Lee Tae-hwan, Kang Ki-young",Korean,8.1,1,2018,,,
What's Wrong with Secretary Kim: Episode 4,Rom-com,16+,TV Show,65,South Korea,"Park Seo-Joon, Park Min-Young, Lee Tae-hwan, Kang Ki-young",Korean,8.1,1,2018,,,
What's Wrong with Secretary Kim: Episode 3,Rom-com,16+,TV Show,65,South Korea,"Park Seo-Joon, Park Min-Young, Lee Tae-hwan, Kang Ki-young",Korean,8.1,1,2018,,,0
What's Wrong with Secretary Kim: Episode 2,Rom-com,16+,TV Show,65,South Korea,"Park Seo-Joon, Park Min-Young, Lee Tae-hwan, Kang Ki-young",Korean,8.1,1,2018,,,
What's Wrong with Secretary Kim: Episode 1,Rom-com,16+,TV Show,65,South Korea,"Park Seo-Joon, Park Min-Young, Lee Tae-hwan, Kang Ki-young",Korean,8.1,1,2018,,,
Emily In Paris: Season 3: Episode 4,Dramedy,16+,TV Show,30,United States,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Lucas Bravo, Samuel Arnold, Bruno Gouery, Camille Razat, William Abadie, and Lucien Laviscount.",English,6.9,3,2020,,,
Emily In Paris: Season 3: Episode 3,Dramedy,16+,TV Show,30,United States,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Lucas Bravo, Samuel Arnold, Bruno Gouery, Camille Razat, William Abadie, and Lucien Laviscount.",English,6.9,3,2020,,,
Emily In Paris: Season 3: Episode 2,Dramedy,16+,TV Show,30,United States,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Lucas Bravo, Samuel Arnold, Bruno Gouery, Camille Razat, William Abadie, and Lucien Laviscount.",English,6.9,3,2020,,,
Emily In Paris: Season 3: Episode 1,Dramedy,16+,TV Show,30,United States,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Lucas Bravo, Samuel Arnold, Bruno Gouery, Camille Razat, William Abadie, and Lucien Laviscount.",English,6.9,3,2020,,,
Tsitp: Season 1: Episode 1,Coming-Of-Life,16+,TV Show,50,United States,"Lola Tung , Christopher Briney , Gavin Casalegno , Sean Kaufman , Jackie Chung ",English,7.4,2,2022,,,
Tsitp: Season 1: Episode 1,Coming-Of-Life,16+,TV Show,50,United States,"Lola Tung , Christopher Briney , Gavin Casalegno , Sean Kaufman , Jackie Chung ",English,7.4,2,2022,,,
Tsitp: Season 1: Episode 1,Coming-Of-Life,16+,TV Show,50,United States,"Lola Tung , Christopher Briney , Gavin Casalegno , Sean Kaufman , Jackie Chung ",English,7.4,2,2022,,,
Tsitp: Season 1: Episode 1,Coming-Of-Life,16+,TV Show,50,United States,"Lola Tung , Christopher Briney , Gavin Casalegno , Sean Kaufman , Jackie Chung ",English,7.4,2,2022,,,
Tsitp: Season 1: Episode 1,Coming-Of-Life,16+,TV Show,50,United States,"Lola Tung , Christopher Briney , Gavin Casalegno , Sean Kaufman , Jackie Chung ",English,7.4,2,2022,,,
Tsitp: Season 1: Episode 1,Coming-Of-Life,16+,TV Show,50,United States,"Lola Tung , Christopher Briney , Gavin Casalegno , Sean Kaufman , Jackie Chung ",English,7.4,2,2022,,,
Red Rose: It's Grim Up North,Dark Drama,18+,TV Show,49,United Kingdom,Amelia Clarkson · Natalie Blair · Ellis Howard · Ali Khan · Ashna Rabheru · Harry Redding · Natalie Gavin · Adam Nagaitis.,English,6.4,,2022,,,
Physical: 100: Season 1: The Pecking Order,Reality,13+,TV Show,54,South Korea,"Jo Jin-hyeong, Park Jin-yong, Kim Min-cheol, Woo Jin-yong, and Jung Hae-min.",Korean,7.7,,2023,,,
Class: Episode 8,Teen-drama,18+,TV Show,58,India,"Zeyn Shaw , Moses Koul , Ratnabali Bhattacharjee , Piyush Khati , Chintan Rachchh.",Hindi,6.2,1,2023,,,
Class: Episode 7,Teen-drama,18+,TV Show,59,India,"Zeyn Shaw , Moses Koul , Ratnabali Bhattacharjee , Piyush Khati , Chintan Rachchh.",Hindi,6.2,1,2023,,,
Class: Episode 6,Teen-drama,18+,TV Show,44,India,"Zeyn Shaw , Moses Koul , Ratnabali Bhattacharjee , Piyush Khati , Chintan Rachchh.",Hindi,6.2,1,2023,,,
Class: Episode 5,Teen-drama,18+,TV Show,49,India,"Zeyn Shaw , Moses Koul , Ratnabali Bhattacharjee , Piyush Khati , Chintan Rachchh.",Hindi,6.2,1,2023,,,
Class: Episode 4,Teen-drama,18+,TV Show,58,India,"Zeyn Shaw , Moses Koul , Ratnabali Bhattacharjee , Piyush Khati , Chintan Rachchh.",Hindi,6.2,1,2023,,,
Class: Episode 3,Teen-drama,18+,TV Show,50,India,"Zeyn Shaw , Moses Koul , Ratnabali Bhattacharjee , Piyush Khati , Chintan Rachchh.",Hindi,6.2,1,2023,,,
Class: Episode 2,Teen-drama,18+,TV Show,49,India,"Zeyn Shaw , Moses Koul , Ratnabali Bhattacharjee , Piyush Khati , Chintan Rachchh.",Hindi,6.2,1,2023,,,
Class: Episode 1,Teen-drama,18+,TV Show,48,India,"Zeyn Shaw , Moses Koul , Ratnabali Bhattacharjee , Piyush Khati , Chintan Rachchh.",Hindi,6.2,1,2023,,,
Alice in Borderland: Season 2: Episode 6,Dark Drama,18+,TV Show,52,Japan,"Kento Yamazaki , Tao Tsuchiya ,Nijirô Murakami, Eleanor Noble · Yuzuha Usagi ; Daniel Rindress-Kay.",Japanese,7.7,1,2020,,,
Alice in Borderland: Season 2: Episode 5,Dark Drama,18+,TV Show,42,Japan,"Kento Yamazaki , Tao Tsuchiya ,Nijirô Murakami, Eleanor Noble · Yuzuha Usagi ; Daniel Rindress-Kay.",Japanese,7.7,1,2020,,,
Fifty Shades of Grey,Romance,18+,Movie,125,United States,Dakota Johnson · Anastasia Steele ; Jamie Dornan · Christian Grey ; Jennifer Ehle · Carla ; Eloise Mumford · Kate ; Victor Rasuk · José.,English,4.2,3,2015,,,
Choose or Die,Thriller,18+,Movie,85,United Kingdom,"Iola Evans ·,Asa Butterfield, Robert Englund , Angela Griffin , Ryan Gage .",English,4.8,,,,,
Doctor G,Drama,13+,Movie,121,India,"Ayushmann Khurrana, Rakul Preet Singh and Shefali Shah.",Hindi,6.7,,2023,,,
Wednesday: Season 1: Wednesday's Child Is Full of Woe,Teen-drama,13+,TV Show,59,United States,"Jenna Ortega , Hunter Doohan , Percy Hynes White,Emma Myers , Joy Sunday ·",English,8.1,1,2022,,,
"Monica, O My Darling",Dramedy,16+,Movie,130,India,"Rajkummar Rao, Huma Qureshi, Radhika Apte, Sikandar Kher",Hindi,7.4,,,,,
All of Us Are Dead: Season 1: Episode 12,Teen-drama,18+,TV Show,70,South Korea,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee Yoo-mi, Kim Byung-chul, Lee Kyu-hyung, and Jeon Bae-soo.",Korean,7.5,2,2022,,,
All of Us Are Dead: Season 1: Episode 11,Teen-drama,18+,TV Show,75,South Korea,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee Yoo-mi, Kim Byung-chul, Lee Kyu-hyung, and Jeon Bae-soo.",Korean,7.5,2,2022,,,
All of Us Are Dead: Season 1: Episode 10,Teen-drama,18+,TV Show,80,South Korea,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee Yoo-mi, Kim Byung-chul, Lee Kyu-hyung, and Jeon Bae-soo.",Korean,7.5,2,2022,,,
All of Us Are Dead: Season 1: Episode 9,Teen-drama,18+,TV Show,76,South Korea,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee Yoo-mi, Kim Byung-chul, Lee Kyu-hyung, and Jeon Bae-soo.",Korean,7.5,2,2022,,,
All of Us Are Dead: Season 1: Episode 8,Teen-drama,18+,TV Show,76,South Korea,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee Yoo-mi, Kim Byung-chul, Lee Kyu-hyung, and Jeon Bae-soo.",Korean,7.5,2,2022,,,
All of Us Are Dead: Season 1: Episode 7,Teen-drama,18+,TV Show,76,South Korea,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee Yoo-mi, Kim Byung-chul, Lee Kyu-hyung, and Jeon Bae-soo.",Korean,7.5,2,2022,,,
All of Us Are Dead: Season 1: Episode 6,Teen-drama,18+,TV Show,76,South Korea,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee Yoo-mi, Kim Byung-chul, Lee Kyu-hyung, and Jeon Bae-soo.",Korean,7.5,2,2022,,,
All of Us Are Dead: Season 1: Episode 5,Teen-drama,18+,TV Show,76,South Korea,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee Yoo-mi, Kim Byung-chul, Lee Kyu-hyung, and Jeon Bae-soo.",Korean,7.5,2,2022,,,
All of Us Are Dead: Season 1: Episode 4,Teen-drama,18+,TV Show,76,South Korea,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee Yoo-mi, Kim Byung-chul, Lee Kyu-hyung, and Jeon Bae-soo.",Korean,7.5,2,2022,,,
All of Us Are Dead: Season 1: Episode 3,Teen-drama,18+,TV Show,76,South Korea,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee Yoo-mi, Kim Byung-chul, Lee Kyu-hyung, and Jeon Bae-soo.",Korean,7.5,2,2022,,,
All of Us Are Dead: Season 1: Episode 2,Teen-drama,18+,TV Show,76,South Korea,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee Yoo-mi, Kim Byung-chul, Lee Kyu-hyung, and Jeon Bae-soo.",Korean,7.5,2,2022,,,
All of Us Are Dead: Season 1: Episode 1,Teen-drama,18+,TV Show,76,South Korea,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee Yoo-mi, Kim Byung-chul, Lee Kyu-hyung, and Jeon Bae-soo.",Korean,7.5,2,2022,,,
Jaadugar,Dramedy,13+,Movie,167,India,"Jitendra Kumar, Arushi Sharma, Jaaved Jaaferi, Manoj Joshi, Rukshar Dhillonmore",Hindi,6.9,1,2022,,,
Interstellar,"Sci-fi, Drama",13+,Movie,170,United States,"Matthew McConaughey , Anne Hathaway , Jessica Chastain,Mackenzie Foy , Ellen Burstyn",English,8.7,1,2014,,,
Lust Stories,Rom-com,18+,Movie,120,India,"Kiara Advani, Vicky Kaushal, Bhumi Padnekar, Radhika Apte",Hindi,7.3,1,2018,,,
HIT: The First Case,Thriller,18+,Movie,141,India,"Rajkummar Rao , Sanya Malhotra, Akhil Iyer , Jatin Goswami ,Shilpa Shukla ",Hindi,6.8,1,2022,,,
Delhi Crime: Season 2: Episode 5,Thriller,18+,TV Show,48,India,Shefali Shah · Rasika Dugal · Rajesh Tailang · Anuraag Arora · Gopal Datt · Sidharth Bhardwaj · Tillotama Shome ,Hindi,8.5,2,2022,,,
Delhi Crime: Season 2: Episode 4,Thriller,18+,TV Show,42,India,Shefali Shah · Rasika Dugal · Rajesh Tailang · Anuraag Arora · Gopal Datt · Sidharth Bhardwaj · Tillotama Shome ,Hindi,8.5,2,2022,,,
