Title,Genre,Age Rating,Content Type,Duration(min),Origin Country,Main Cast,Audio,IMDB rate,Seasons,Release Year,,,
Mismatched: Season 2,Romance,16+,TV Show,32,India,"Prajakta Kohli, Rohit Saraf, Vihaan Samat, Taaruk Raina",Hindi,5.9,2,2020,,,
Mismatched: Season 2,Romance,16+,TV Show,32,India,"Prajakta Kohli, Rohit Saraf, Vihaan Samat, Taaruk Raina",Hindi,5.9,2,2020,,,
Mismatched: Season 2,Romance,16+,TV Show,32,India,"Prajakta Kohli, Rohit Saraf, Vihaan Samat, Taaruk Raina",Hindi,5.9,2,2020,,,
Mismatched: Season 2,Romance,16+,TV Show,32,India,"Prajakta Kohli, Rohit Saraf, Vihaan Samat, Taaruk Raina",Hindi,5.9,2,2020,,,
Mismatched: Season 2,Romance,16+,TV Show,32,India,"Prajakta Kohli, Rohit Saraf, Vihaan Samat, Taaruk Raina",Hindi,5.9,2,2020,,,
Friends: Season 9: The One with the Sharks,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Ye Jawaani Hai Deewani,Dramedy,13+,Movie,160,India,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor, Kalki Koechlin",Hindi,7.2,,2013,,,
The Good Bad Mother: Episode 14,"Revenge, Emotional",18+,TV Show,82,South Korea,"Ra Mi-ran, Lee Do-hyun and Ahn Eun-jin.",Korean,8.4,1,2023,,,
The Good Bad Mother: Episode 13,"Revenge, Emotional",18+,TV Show,82,South Korea,"Ra Mi-ran, Lee Do-hyun and Ahn Eun-jin.",Korean,8.4,1,2023,,,
The Good Bad Mother: Episode 12,"Revenge, Emotional",18+,TV Show,82,South Korea,"Ra Mi-ran, Lee Do-hyun and Ahn Eun-jin.",Korean,8.4,1,2023,,,
The Good Bad Mother: Episode 11,"Revenge, Emotional",18+,TV Show,82,South Korea,"Ra Mi-ran, Lee Do-hyun and Ahn Eun-jin.",Korean,8.4,1,2023,,,
The Vampire Diaries: Season 1,"Suspense, Fantasy",18+,TV Show,44,United States,"Nina Dobrev, Paul Wesley , Ian Somerhalder , Kat Graham, Candice King ",English,7.7,8,2009,,,
The Vampire Diaries: Season 1,"Suspense, Fantasy",18+,TV Show,44,United States,"Nina Dobrev, Paul Wesley , Ian Somerhalder , Kat Graham, Candice King ",English,7.7,8,2009,,,
The Vampire Diaries: Season 1,"Suspense, Fantasy",18+,TV Show,44,United States,"Nina Dobrev, Paul Wesley , Ian Somerhalder , Kat Graham, Candice King ",English,7.7,8,2009,,,
The Vampire Diaries: Season 1,"Suspense, Fantasy",18+,TV Show,44,United States,"Nina Dobrev, Paul Wesley , Ian Somerhalder , Kat Graham, Candice King ",English,7.7,8,2009,,,
The Vampire Diaries: Season 1,"Suspense, Fantasy",18+,TV Show,44,United States,"Nina Dobrev, Paul Wesley , Ian Somerhalder , Kat Graham, Candice King ",English,7.7,8,2009,,,
The Vampire Diaries: Season 1,"Suspense, Fantasy",18+,TV Show,44,United States,"Nina Dobrev, Paul Wesley , Ian Somerhalder , Kat Graham, Candice King ",English,7.7,8,2009,,,
The Vampire Diaries: Season 1,"Suspense, Fantasy",18+,TV Show,44,United States,"Nina Dobrev, Paul Wesley , Ian Somerhalder , Kat Graham, Candice King ",English,7.7,8,2009,,,
The Good Bad Mother: Episode 10,"Revenge, Emotional",18+,TV Show,82,South Korea,"Ra Mi-ran, Lee Do-hyun and Ahn Eun-jin.",Korean,8.4,1,2023,,,
The Good Bad Mother: Episode 9,"Revenge, Emotional",18+,TV Show,82,South Korea,"Ra Mi-ran, Lee Do-hyun and Ahn Eun-jin.",Korean,8.4,1,2023,,,
The Good Bad Mother: Episode 8,"Revenge, Emotional",18+,TV Show,82,South Korea,"Ra Mi-ran, Lee Do-hyun and Ahn Eun-jin.",Korean,8.4,1,2023,,,
The Good Bad Mother: Episode 7,"Revenge, Emotional",18+,TV Show,82,South Korea,"Ra Mi-ran, Lee Do-hyun and Ahn Eun-jin.",Korean,8.4,1,2023,,,
The Good Bad Mother: Episode 6,"Revenge, Emotional",18+,TV Show,82,South Korea,"Ra Mi-ran, Lee Do-hyun and Ahn Eun-jin.",Korean,8.4,1,2023,,,
The Good Bad Mother: Episode 2,"Revenge, Emotional",18+,TV Show,82,South Korea,"Ra Mi-ran, Lee Do-hyun and Ahn Eun-jin.",Korean,8.4,1,2023,,,
The Good Bad Mother: Episode 3,"Revenge, Emotional",18+,TV Show,82,South Korea,"Ra Mi-ran, Lee Do-hyun and Ahn Eun-jin.",Korean,8.4,1,2023,,,
The Good Bad Mother: Episode 4,"Revenge, Emotional",18+,TV Show,82,South Korea,"Ra Mi-ran, Lee Do-hyun and Ahn Eun-jin.",Korean,8.4,1,2023,,,
The Good Bad Mother: Episode 5,"Revenge, Emotional",18+,TV Show,82,South Korea,"Ra Mi-ran, Lee Do-hyun and Ahn Eun-jin.",Korean,8.4,1,2023,,,
Valeria: Season 3: Getting Old,Drama,18+,TV Show,61,Spain," Diana Gómez , Silma López,  Paula Malia, Teresa Riott",Spanish,6.6,3,2020,,,
Valeria: Season 3: The Word,Drama,18+,TV Show,61,Spain," Diana Gómez , Silma López,  Paula Malia, Teresa Riott",Spanish,6.6,3,2020,,,
Valeria: Season 3: Taste You,Drama,18+,TV Show,61,Spain," Diana Gómez , Silma López,  Paula Malia, Teresa Riott",Spanish,6.6,3,2020,,,
Friends: Season 8: The One with the Baby Shower,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 7: The One with the Nap Partners,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Never Have I Ever: Season 4: ...said goodbye,Teen-drama,13+,TV Show,25,United States,"Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet, Richa Moorjani, Jaren Lewison",English,7.9,4,2020,,,
Never Have I Ever: Season 4: ...gone to prom,Teen-drama,13+,TV Show,25,United States,"Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet, Richa Moorjani, Jaren Lewison",,7.9,4,2020,,,
